SiO2,Al2O3,B2O3,CaO,Na2O,Li2O,MgO,BaO,ZnO,K2O,PbO,SrO,GeO2,ZrO2,TiO2,TeO2,FemOn,P2O5,Tg
47.72994,0,27.65255,0,24.6175,0,0,0,0,0,0,0,0,0,0,0,0,0,547
31.41015,0,36.28625,0,32.3036,0,0,0,0,0,0,0,0,0,0,0,0,0,485
74.58207,0,10.80236,0,0,0,0,0,0,14.61557,0,0,0,0,0,0,0,0,658
71.5284,0,12.10014,0,0,0,0,0,0,16.37146,0,0,0,0,0,0,0,0,650
68.75657,0,13.27814,0,0,0,0,0,0,17.9653,0,0,0,0,0,0,0,0,638
63.12187,0,15.67283,0,0,0,0,0,0,21.20531,0,0,0,0,0,0,0,0,632
59.39453,0,17.25691,0,0,0,0,0,0,23.34856,0,0,0,0,0,0,0,0,630
58.31383,0,17.71619,0,0,0,0,0,0,23.96998,0,0,0,0,0,0,0,0,624
57.66875,0,17.99035,0,0,0,0,0,0,24.3409,0,0,0,0,0,0,0,0,623
56.17323,0,18.62593,0,0,0,0,0,0,25.20085,0,0,0,0,0,0,0,0,613
50.3231,0,21.11217,0,0,0,0,0,0,28.56473,0,0,0,0,0,0,0,0,578
47.27324,0,22.40833,0,0,0,0,0,0,30.31843,0,0,0,0,0,0,0,0,541
46.26928,0,22.835,0,0,0,0,0,0,30.89572,0,0,0,0,0,0,0,0,538
37.50716,0,26.55881,0,0,0,0,0,0,35.93402,0,0,0,0,0,0,0,0,508
43.14473,0,23.03561,0,0,0,0,0,0,33.81966,0,0,0,0,0,0,0,0,500
39.57983,0,29.46134,0,0,0,0,0,0,30.95882,0,0,0,0,0,0,0,0,534
59.02361,0,10.13202,0,0,0,0,0,0,30.84437,0,0,0,0,0,0,0,0,596
69.50301,0,3.221349,0,0,0,0,0,0,27.27565,0,0,0,0,0,0,0,0,562
67.16979,0,6.433965,0,0,0,0,0,0,26.39624,0,0,0,0,0,0,0,0,588
64.39713,0,10.36354,0,0,0,0,0,0,25.23934,0,0,0,0,0,0,0,0,610
61.26218,0,14.79717,0,0,0,0,0,0,23.94065,0,0,0,0,0,0,0,0,625
60.69692,0,15.51398,0,0,0,0,0,0,23.7891,0,0,0,0,0,0,0,0,641
58.8524,0,18.08142,0,0,0,0,0,0,23.06618,0,0,0,0,0,0,0,0,634
57.92098,0,19.30805,0,0,0,0,0,0,22.77097,0,0,0,0,0,0,0,0,635
57.0116,0,20.6437,0,0,0,0,0,0,22.34471,0,0,0,0,0,0,0,0,623
55.90889,0,22.17859,0,0,0,0,0,0,21.91252,0,0,0,0,0,0,0,0,605
54.71081,0,23.81137,0,0,0,0,0,0,21.47782,0,0,0,0,0,0,0,0,592
50.68454,0,29.41574,0,0,0,0,0,0,19.89972,0,0,0,0,0,0,0,0,546
49.68526,0,30.84147,0,0,0,0,0,0,19.47328,0,0,0,0,0,0,0,0,538
47.3254,0,34.1957,0,0,0,0,0,0,18.4789,0,0,0,0,0,0,0,0,513
43.64627,0,42.11003,0,0,0,0,0,0,14.2437,0,0,0,0,0,0,0,0,439
35.20732,0,50.99378,0,0,0,0,0,0,13.7989,0,0,0,0,0,0,0,0,408
